date,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,XMR,NEO,DASH,BNB,ETC,XEM,XTZ,BSV,MKR,ATOM,LEO,LINK,HT,MIN,INNBCL,STO,TAGZ5,CRO,HEX,DOT
20200410,0.748221006264688,0.408068271688551,0.249103740809834,0.19214177125662,0.029468536177793,0.175447117620566,0.347499157300422,0,0,0,0.345167896166817,0,0,0.39481547462292,0,0,0.181288041779087,0.200915085414615,0,0,0.0331687126618128,0.251889080849191,0,0,0.0179816036727979,0,0.130637629629891,0,0,0
20200411,0.583840526304805,0.400267726246842,0.24792575639339,0.186531726275238,0.0436532348771964,0.175466061534826,0.319431104248919,0,0,0,0.231661650575093,0,0,0.395891612380075,0,0,0.0765273066273332,0.21798769209808,0,0,0.0280805633234402,0.249890312229791,0,0,0.0194025963942921,0,0.12240142151492,0,0,0
20200412,0.57918153295248,0.390603811800699,0.508188747430905,0.174123621182153,0.0435579314315858,0.176244964108013,0.339246606707997,0,0,0,0.234128627555413,0,0,0.404222419973877,0,0,0.0764187273153091,0.233675585204293,0,0,0.0387940007089013,0.256251479002882,0,0,0.022968043688538,0,0.125184187198687,0,0,0
20200413,0.631181009986252,0.430342262769622,0.213437722178982,0.326861401941867,0.0310136197517325,0.107747881194254,0.599884086774995,0.0752570593614737,0,0,0.524274934415288,0,0,0.448534377538478,0,0,0.0900646150246998,0.115177576972725,0,0,0.0142815685261979,0.257881315782177,0,0,0.0303653285349233,0,0,0,0,0
20200414,0.576142785905419,0.384529165020673,0.129965197095897,0.51114303358235,0.0460200218287085,0.137324109503443,0.61046285949291,0,0,0,0.330012307485396,0,0,0.443638352902466,0,0,0.15739431049113,0.202195338224025,0,0,0.0214249041062446,0.305946017728679,0,0,0.0263067303379474,0,0.122781604275538,0,0,0
20200415,0.566576449323005,0.217663012403729,0.148717810874149,0.134943862672445,0.0444901755647571,0.129983475401238,0.552726098344595,0,0,0,0.259837138404863,0,0,0.219524759714025,0,0,0.0922646226311558,0.22892765468475,0,0,0.0156904450919625,0.245593495166172,0,0,0.0384161533395601,0,0.0878959206883284,0,0,0
20200416,0.556039028678514,0.26611821666076,0.160000670398345,0.120276966591141,0.0657043330413245,0.147839170366286,0.399011015863719,0,0,0,0.272504017477169,0,0,0.22134083711302,0,0,0.337138039865239,0.203973040636039,0,0,0.0213433382002376,0.243242236780156,0,0,0.0144825281608037,0,0.119795376405544,0,0,0
20200417,0.599204342532405,0.233328529346801,0.166031927233398,0.67562694572099,0.053123688105418,0.149992769475272,0.101469139709498,0,0,0,0.280507014612319,0,0,0.21269954124805,0,0,0.358693149323118,0.0665506611510659,0,0,0.0209289653153028,0.263661784767942,0,0,0.0133326032587511,0,0.123373631699322,0,0,0
20200418,0.598045443111112,0.373654530563645,0.159226865011398,0.395805850775516,0.145257815202728,0.125786705064425,0.500154609976883,0,0,0,0.249668206919036,0,0,0.219440085117083,0,0,0.464583902426993,0.0625701424919002,0,0,0.0329801090378253,0.225561604265893,0,0,0.0139622345174912,0,0.0899028671063409,0,0,0
20200419,0.551313300355258,0.421338922011574,0.0740578510576833,0.529983927804384,0.146512851031814,0.0768045984116001,0.454357792765649,0,0,0,0.267877429435328,0,0,0.217369949943881,0,0,0.43023423430662,0.0918216167005101,0,0,0.0335794362125354,0.246470688866119,0,0,0.0226670269637524,0,0.108090683679611,0,0,0
20200420,0.4843679732829,0.398218241534967,0.120358749511716,0.522137464505354,0.145123485525207,0.0732486211059562,0.623045311142246,0,0,0,0.26760200352208,0,0,0.213379218818648,0,0,0.23874156232304,0.0993357494399131,0,0,0.0402552164724289,0.220470521507252,0,0,0.0227566173345882,0,0.07348721427143,0,0,0
20200421,0.522232770841891,0.440470538193367,0.084378455012424,0.526941688018781,0.145195840401743,0.0736432026448203,0.103561931501427,0,0,0,0.272086147300869,0,0,0.221533009213841,0,0,0.359374697329573,0.0957410326664089,0,0,0.0345403988223015,0.248067625558741,0,0,0.0230119203860865,0,0.0720285799069644,0,0,0
20200422,0.568608240855157,0.276255776635288,0.213371126883038,0.621265329965028,0.142320398496081,0.139053182300225,0.135973163425258,0,0,0,0.266463692112752,0,0,0.197917822217571,0,0,0.236619860267273,0.114495809616397,0,0,0.026917753991296,0.236430625404767,0,0,0.0215208015299022,0,0.120243372136186,0,0,0
20200423,0.523707215890878,0.220244988479588,0.15518602838579,0.502705817632058,0.16412409638015,0.302966936070004,0.123151408358761,0.308005217623909,0,0,0,0,0,0.154215645227151,0,0,0.212488988378198,0.0863804505701375,0,0,0.0409673916085391,0.22689460681818,0,0,0.0169404635357459,0,0.0670008993963498,0,0,0
